,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
19137,67.0,Cai Villas De Granada ,0.3 km,1,7.220870423971701
19140,67.0,Cai Jaboque ,2.1 km,8,7.220870423971701
19271,68.0,Cai Plaza De Las Américas ,1.6 km,7,15.525693658555944
19276,68.0,Cai Oneida ,2.3 km,7,15.525693658555944
19285,68.0,Cai Villa Claudia ,2.6 km,7,15.525693658555944
19444,69.0,Cai Tintal ,1.2 km,5,15.525693658555944
19447,69.0,Cai Castilla ,1.1 km,4,15.525693658555944
19556,144.0,Estación Santa Fé ,2.3 km,8,5.107584220989939
19563,144.0,Cai Telecom ,2.4 km,6,5.107584220989939
19567,144.0,Cai Torres Blancas ,1.4 km,4,5.107584220989939
19572,144.0,Cai San Diego ,1.3 km,4,5.107584220989939
19680,144.0,Cai Teusaquillo ,1.9 km,8,5.107584220989939
19690,144.0,Cai Samper Mendoza ,3.2 km,8,5.107584220989939
19715,156.0,Cai Navarra ,1.1 km,5,4.601013191631184
20001,237.0,Cai Modelo ,3.6 km,7,1.1679465651794496
20011,237.0,Cai Galerias ,3.3 km,8,1.1679465651794496
20014,237.0,Cai Alcanzares ,3.3 km,8,1.1679465651794496
20023,237.0,Cai Siete De Agosto ,1.3 km,4,1.1679465651794496
20024,237.0,Cai Federman ,2.1 km,6,1.1679465651794496
20030,237.0,Cai San Luis ,1.6 km,8,1.1679465651794496
20206,94.0,Cai Puente Aranda ,1.0 km,4,7.945104748270014
20287,70.0,Cai San Carlos ,2.6 km,8,4.557375710240918
20403,70.0,Cai Compartir ,2.1 km,8,4.557375710240918
20405,70.0,Cai Arborizadora Alta ,2.7 km,8,4.557375710240918
20408,70.0,Cai La Candelaria ,0.6 km,3,4.557375710240918
20409,70.0,Cai San Francisco ,1.3 km,4,4.557375710240918
20455,71.0,Cai La Aurora ,3.6 km,6,4.557375710240918
20574,71.0,Cai La Joya ,1.5 km,7,4.557375710240918
20701,153.0,Cai Rio Negro ,1.7 km,5,1.1679465651794496
20702,153.0,Cai Polo Club ,2.2 km,8,1.1679465651794496
20703,153.0,Cai Modelo ,3.0 km,7,1.1679465651794496
20709,153.0,Cai Alcanzares ,2.7 km,8,1.1679465651794496
20711,153.0,Estación Barrios Unidos ,2.7 km,7,1.1679465651794496
20844,72.0,Cai Modelia ,0.3 km,1,2.9593243387289996
20852,72.0,Cai Normandia ,2.5 km,8,2.9593243387289996
20854,72.0,Cai Ciudad Salitre ,2.7 km,8,2.9593243387289996
21017,138.0,Cai Versalles ,0.6 km,3,2.9593243387289996
21020,138.0,Cai Santander ,1.8 km,8,2.9593243387289996
21188,75.0,Cai Modelia ,3.6 km,8,2.9593243387289996
21384,118.0,Estación Suba ,2.0 km,8,10.23806100125259
21534,132.0,Cai Versalles ,0.1 km,1,2.9593243387289996
21626,78.0,Cai Verbenal ,0.6 km,4,4.601013191631184
21956,111.0,Cai Lucero ,1.8 km,7,4.557375710240918
21958,111.0,Cai Compartir ,1.8 km,7,4.557375710240918
21959,111.0,Cai Vista Hermosa ,0.5 km,2,4.557375710240918
21966,111.0,Cai La Joya ,1.5 km,6,4.557375710240918
22036,92.0,Cai Castilla ,1.7 km,6,15.525693658555944
22052,92.0,Cai Hayuelos ,2.6 km,8,15.525693658555944
22053,92.0,Cai Tintal ,2.9 km,8,15.525693658555944
22218,137.0,Cai Castilla ,2.1 km,7,2.9593243387289996
22448,74.0,Estación Antonio Nariño ,2.5 km,8,3.9049283849637786
22472,74.0,Cai San Jorge ,1.9 km,6,3.9049283849637786
22474,74.0,Cai Centenario ,1.9 km,6,3.9049283849637786
22478,74.0,Cai Claret ,2.1 km,6,3.9049283849637786
22481,74.0,Cai Gustavo Restrepo ,1.9 km,6,3.9049283849637786
22483,74.0,Estación Rafael Uribe ,1.9 km,6,3.9049283849637786
22532,76.0,Estación Tunjuelito ,2.2 km,7,7.945104748270014
22565,76.0,Cai Delicias ,3.0 km,7,7.945104748270014
22631,76.0,Cai Tejar ,2.1 km,6,7.945104748270014
22632,76.0,Cai Claret ,2.3 km,8,7.945104748270014
22638,76.0,Cai La Alquería ,1.9 km,5,7.945104748270014
22639,76.0,Cai Villa Mayor ,1.9 km,7,7.945104748270014
22895,79.0,Cai Plaza De Las Américas ,2.1 km,8,15.525693658555944
22899,79.0,Cai Oneida ,0.8 km,4,15.525693658555944
22905,79.0,Cai Delicias ,3.1 km,8,15.525693658555944
22907,79.0,Cai Villa Claudia ,2.9 km,8,15.525693658555944
22911,79.0,Cai Techo ,0.9 km,4,15.525693658555944
22914,79.0,Cai Marsella ,2.8 km,8,15.525693658555944
23012,80.0,Cai Santa Barbara ,2.1 km,7,4.601013191631184
23017,80.0,Cai Lisboa ,3.3 km,8,4.601013191631184
23280,81.0,Cai Florida ,1.8 km,8,7.220870423971701
23281,81.0,Cai Serena ,1.7 km,5,7.220870423971701
23282,81.0,Cai Santa María Del Lago ,1.5 km,5,7.220870423971701
23512,82.0,Estación Ciudad Bolívar ,0.3 km,1,4.557375710240918
23514,82.0,Cai La Candelaria ,1.6 km,6,4.557375710240918
23515,82.0,Cai San Francisco ,2.5 km,8,4.557375710240918
23526,82.0,Cai Arborizadora Alta ,1.5 km,5,4.557375710240918
23527,82.0,Cai Perdomo ,1.8 km,6,4.557375710240918
23606,83.0,Cai Marsella ,2.9 km,8,15.525693658555944
23675,83.0,Cai Gorgonzola ,3.7 km,8,15.525693658555944
23741,87.0,Cai Yomasa ,0.6 km,2,1.563767675016456
23745,87.0,Cai Juan Rey ,0.3 km,1,1.563767675016456
23749,87.0,Cai Los Libertadores ,2.5 km,8,1.563767675016456
23879,88.0,Cai Verbenal ,3.5 km,8,10.23806100125259
23990,88.0,Cai San José De Bavaria ,2.0 km,7,10.23806100125259
24092,188.0,Cai Tunal ,2.0 km,7,1.651398178144416
24093,188.0,Estación Tunjuelito ,1.5 km,7,1.651398178144416
24096,188.0,Cai Venecia ,1.3 km,5,1.651398178144416
24131,188.0,Cai Delicias ,2.5 km,7,1.651398178144416
24197,188.0,Cai Claret ,2.4 km,8,1.651398178144416
24281,205.0,Cai Oneida ,1.1 km,4,15.525693658555944
24285,205.0,Cai Plaza De Las Américas ,1.7 km,6,15.525693658555944
24293,205.0,Cai Delicias ,3.6 km,8,15.525693658555944
24296,205.0,Cai Techo ,0.7 km,3,15.525693658555944
24307,205.0,Cai Marsella ,2.8 km,6,15.525693658555944
24450,173.0,Cai Oneida ,2.3 km,8,15.525693658555944
24451,173.0,Cai Caldas ,2.9 km,8,15.525693658555944
24457,173.0,Cai Plaza De Las Américas ,1.3 km,6,15.525693658555944
24472,173.0,Cai Marsella ,1.9 km,5,15.525693658555944
24704,220.0,Cai Valvanera ,2.4 km,8,7.945104748270014
24705,220.0,Cai Ricaurte ,2.3 km,7,7.945104748270014
24708,220.0,Cai Santa Isabel  ,2.3 km,7,7.945104748270014
24710,220.0,Cai Santa Matilde ,1.3 km,6,7.945104748270014
24711,220.0,Cai Galan ,2.6 km,7,7.945104748270014
24713,220.0,Cai Gorgonzola ,2.2 km,6,7.945104748270014
24777,90.0,Estación Usme ,2.3 km,7,1.563767675016456
24786,90.0,Cai Antonio José De Sucre ,2.4 km,6,1.563767675016456
24787,90.0,Cai Nuevo Porvenir ,1.9 km,7,1.563767675016456
24930,218.0,Cai Las Cruces ,1.1 km,6,4.942820703104401
24943,218.0,Cai Distrital ,1.7 km,6,4.942820703104401
24949,218.0,Cai Usme ,2.3 km,8,4.942820703104401
25053,218.0,Cai Restrepo ,1.8 km,6,4.942820703104401
25056,218.0,Cai Ciudad Berna ,2.3 km,6,4.942820703104401
25066,218.0,Estación Candelaria ,2.1 km,8,4.942820703104401
25074,218.0,Cai Bolivia ,2.2 km,8,4.942820703104401
25149,106.0,Cai Campo Verde ,1.1 km,5,6.590791712152753
25275,243.0,Cai Lourdes ,1.9 km,7,2.878816391520804
25381,243.0,Cai Galerias ,0.8 km,5,2.878816391520804
25382,243.0,Estación Teusaquillo ,1.9 km,8,2.878816391520804
25387,243.0,Cai San Luis ,1.1 km,5,2.878816391520804
25390,243.0,Cai Soledad ,1.5 km,7,2.878816391520804
25584,93.0,Cai Dianaturbay ,1.8 km,8,3.9049283849637786
25594,93.0,Cai Los Molinos ,1.6 km,6,3.9049283849637786
25727,131.0,Cai Galerias ,2.1 km,6,2.878816391520804
25728,131.0,Cai Siete De Agosto ,3.7 km,7,2.878816391520804
25730,131.0,Cai Soledad ,0.6 km,3,2.878816391520804
25731,131.0,Estación Teusaquillo ,1.3 km,6,2.878816391520804
25732,131.0,Cai Federman ,3.2 km,8,2.878816391520804
25734,131.0,Cai Teusaquillo ,1.3 km,6,2.878816391520804
25740,131.0,Cai Samper Mendoza ,1.8 km,7,2.878816391520804
25772,97.0,Estación Usaquén  ,2.7 km,7,4.601013191631184
25774,97.0,Cai Verbenal ,2.0 km,8,4.601013191631184
25778,97.0,Cai Codito ,3.2 km,8,4.601013191631184
25780,97.0,Cai Villa Nidia ,3.0 km,8,4.601013191631184
25946,190.0,Cai Contador ,0.9 km,4,4.601013191631184
26062,190.0,Cai Tierra Linda ,3.0 km,8,4.601013191631184
26215,185.0,Cai Villa Luz ,2.5 km,8,7.220870423971701
26216,185.0,Cai Normandia ,2.0 km,8,7.220870423971701
26218,185.0,Cai Ferias ,1.8 km,7,7.220870423971701
26247,185.0,Cai Modelo ,3.5 km,8,7.220870423971701
26352,95.0,Cai Villa Del Rio ,2.0 km,6,4.557375710240918
26361,95.0,Cai Timiza ,3.3 km,8,4.557375710240918
26454,95.0,Cai La Candelaria ,2.9 km,8,4.557375710240918
26467,95.0,Cai Perdomo ,1.9 km,8,4.557375710240918
26475,250.0,Cai Chile ,2.0 km,8,1.1679465651794496
26487,250.0,Cai Chapinero ,2.1 km,8,1.1679465651794496
26491,250.0,Cai Lourdes ,1.3 km,6,1.1679465651794496
26588,250.0,Cai Alcanzares ,2.2 km,8,1.1679465651794496
26596,250.0,Cai Siete De Agosto ,2.5 km,8,1.1679465651794496
26605,250.0,Cai San Luis ,1.5 km,7,1.1679465651794496
26652,96.0,Cai Girardot ,1.9 km,6,2.4853124012353445
26662,96.0,Cai Las Cruces ,1.3 km,3,2.4853124012353445
26670,96.0,Estación San Cristóbal ,1.6 km,6,2.4853124012353445
26673,96.0,Cai Veinte De Julio ,1.9 km,7,2.4853124012353445
26674,96.0,Cai Distrital ,1.2 km,4,2.4853124012353445
26687,96.0,Cai Usme ,2.2 km,8,2.4853124012353445
26776,96.0,Cai Restrepo ,1.7 km,7,2.4853124012353445
26781,96.0,Cai Ciudad Berna ,1.4 km,6,2.4853124012353445
26788,96.0,Estación Candelaria ,2.0 km,8,2.4853124012353445
26886,98.0,Cai Marsella ,2.5 km,8,7.945104748270014
26961,98.0,Cai Puente Aranda ,2.1 km,8,7.945104748270014
27120,160.0,Estación Puente Aranda ,1.6 km,7,7.945104748270014
27122,160.0,Cai Samper Mendoza ,3.4 km,8,7.945104748270014
27134,160.0,Cai Gorgonzola ,2.4 km,8,7.945104748270014
27136,160.0,Cai Puente Aranda ,2.3 km,7,7.945104748270014
27396,100.0,Cai Oneida ,4.2 km,8,7.945104748270014
27406,100.0,Cai Villa Claudia ,3.8 km,8,7.945104748270014
27470,100.0,Cai Villa Mayor ,3.2 km,8,7.945104748270014
27474,100.0,Cai Gorgonzola ,2.8 km,6,7.945104748270014
27475,100.0,Cai La Alquería ,3.2 km,8,7.945104748270014
27476,100.0,Cai Galan ,3.2 km,7,7.945104748270014
27477,100.0,Cai Santa Matilde ,1.5 km,5,7.945104748270014
27479,100.0,Cai Tejar ,1.9 km,4,7.945104748270014
27644,174.0,Cai Paloquemao ,2.8 km,8,7.945104748270014
27653,174.0,Estación Puente Aranda ,1.8 km,7,7.945104748270014
27836,102.0,Cai La Joya ,1.5 km,6,4.557375710240918
27837,102.0,Cai Lucero ,1.4 km,7,4.557375710240918
27847,102.0,Cai Vista Hermosa ,0.7 km,3,4.557375710240918
28021,103.0,Cai Paraiso ,0.5 km,3,4.557375710240918
28027,247.0,Cai Chile ,1.4 km,7,13.811828262289291
28039,247.0,Cai Lourdes ,1.1 km,6,13.811828262289291
28045,247.0,Cai Chapinero ,1.6 km,7,13.811828262289291
28052,247.0,Cai Granada ,1.2 km,6,13.811828262289291
28157,247.0,Cai San Luis ,1.9 km,8,13.811828262289291
28239,161.0,Estación Tunjuelito ,2.6 km,7,7.945104748270014
28262,161.0,Cai Oneida ,3.9 km,8,7.945104748270014
28276,161.0,Cai Villa Claudia ,3.5 km,8,7.945104748270014
28333,161.0,Cai Villa Mayor ,2.3 km,7,7.945104748270014
28343,161.0,Cai Gorgonzola ,2.5 km,6,7.945104748270014
28344,161.0,Cai Galan ,2.9 km,7,7.945104748270014
28345,161.0,Cai La Alquería ,2.3 km,6,7.945104748270014
28346,161.0,Cai Tejar ,1.6 km,3,7.945104748270014
28347,161.0,Cai Santa Matilde ,2.3 km,7,7.945104748270014
28359,161.0,Cai Claret ,2.7 km,8,7.945104748270014
28373,104.0,Cai Codito ,0.2 km,1,4.601013191631184
28747,147.0,Cai Altamira ,0.9 km,3,2.4853124012353445
28754,147.0,Cai Juan Rey ,2.2 km,6,2.4853124012353445
28755,147.0,Cai Los Libertadores ,0.3 km,2,2.4853124012353445
28756,147.0,Cai Yomasa ,1.9 km,5,2.4853124012353445
28907,219.0,Cai Las Cruces ,0.5 km,3,5.107584220989939
28912,219.0,Cai Girardot ,1.6 km,7,5.107584220989939
28919,219.0,Cai Colseguros ,2.0 km,8,5.107584220989939
28922,219.0,Cai Distrital ,0.9 km,4,5.107584220989939
28927,219.0,Cai Guavio ,1.8 km,7,5.107584220989939
28934,219.0,Cai Usme ,1.3 km,5,5.107584220989939
29024,219.0,Cai Ciudad Berna ,1.5 km,4,5.107584220989939
29027,219.0,Cai Restrepo ,2.3 km,7,5.107584220989939
29032,219.0,Cai Bolivia ,1.6 km,7,5.107584220989939
29035,219.0,Estación Candelaria ,1.1 km,6,5.107584220989939
29060,121.0,Cai Unicentro ,1.8 km,7,4.601013191631184
29071,121.0,Cai Navarra ,1.6 km,6,4.601013191631184
29249,127.0,Estación Santa Fé ,1.0 km,5,5.107584220989939
29257,127.0,Cai San Diego ,1.2 km,3,5.107584220989939
29262,127.0,Cai Torres Blancas ,1.6 km,5,5.107584220989939
29263,127.0,Cai Colseguros ,1.4 km,8,5.107584220989939
29264,127.0,Cai Telecom ,2.3 km,6,5.107584220989939
29363,127.0,Cai Teusaquillo ,2.7 km,7,5.107584220989939
29378,127.0,Cai Samper Mendoza ,3.0 km,8,5.107584220989939
29385,127.0,Cai Rosario ,1.5 km,8,5.107584220989939
29482,107.0,Cai Castilla ,1.7 km,7,15.525693658555944
29484,107.0,Cai Marsella ,1.0 km,3,15.525693658555944
29704,245.0,Cai San Luis ,1.3 km,6,2.878816391520804
29709,245.0,Cai Federman ,1.3 km,5,2.878816391520804
29713,245.0,Cai Soledad ,1.6 km,7,2.878816391520804
29714,245.0,Cai Galerias ,0.2 km,1,2.878816391520804
29715,245.0,Cai Siete De Agosto ,2.6 km,6,2.878816391520804
29796,179.0,Cai Bello Horizonte ,1.6 km,5,2.4853124012353445
29797,179.0,Cai Guacamayas ,1.4 km,5,2.4853124012353445
29805,179.0,Cai La Victoria ,2.0 km,7,2.4853124012353445
30005,108.0,Cai Modelia ,1.5 km,5,2.9593243387289996
30030,108.0,Cai Ciudad Salitre ,3.1 km,8,2.9593243387289996
30163,109.0,Estación  ,1.4 km,8,4.557375710240918
30426,110.0,Cai Vista Hermosa ,0.4 km,2,4.557375710240918
30435,110.0,Cai Lucero ,1.1 km,5,4.557375710240918
30436,110.0,Cai Compartir ,1.1 km,5,4.557375710240918
30443,110.0,Cai La Joya ,1.8 km,7,4.557375710240918
30548,112.0,Cai Villas De Granada ,2.1 km,7,7.220870423971701
30764,113.0,Cai Samper Mendoza ,3.3 km,8,7.945104748270014
30855,191.0,Cai Plaza De Las Américas ,1.7 km,6,15.525693658555944
30863,191.0,Cai Marsella ,2.1 km,6,15.525693658555944
30936,191.0,Cai Gorgonzola ,4.4 km,8,15.525693658555944
31087,152.0,Cai San José De Bavaria ,1.9 km,6,10.23806100125259
31184,149.0,Cai Nuevo Porvenir ,0.9 km,4,1.563767675016456
31409,124.0,Estación Suba ,1.8 km,8,10.23806100125259
31437,124.0,Cai San José De Bavaria ,2.7 km,6,10.23806100125259
31498,115.0,Cai Girardot ,2.2 km,7,2.4853124012353445
31518,115.0,Cai Veinte De Julio ,2.1 km,6,2.4853124012353445
31520,115.0,Estación San Cristóbal ,0.9 km,3,2.4853124012353445
31528,115.0,Cai Ramajal ,2.5 km,8,2.4853124012353445
31685,223.0,Cai Las Cruces ,2.2 km,7,1.5016567730358827
31689,223.0,Cai Distrital ,2.2 km,7,1.5016567730358827
31787,223.0,Estación Antonio Nariño ,1.6 km,7,1.5016567730358827
31790,223.0,Cai Paloquemao ,2.6 km,8,1.5016567730358827
31794,223.0,Estación Mártires ,2.1 km,7,1.5016567730358827
31795,223.0,Cai Ciudad Berna ,2.0 km,7,1.5016567730358827
31797,223.0,Cai Restrepo ,0.9 km,3,1.5016567730358827
31801,223.0,Cai Valvanera ,1.8 km,6,1.5016567730358827
31850,145.0,Cai Las Cruces ,3.2 km,8,2.4853124012353445
31865,145.0,Cai Bello Horizonte ,2.0 km,7,2.4853124012353445
31867,145.0,Cai Guacamayas ,2.2 km,8,2.4853124012353445
31869,145.0,Estación San Cristóbal ,0.2 km,1,2.4853124012353445
31870,145.0,Cai Veinte De Julio ,1.0 km,4,2.4853124012353445
32085,162.0,Cai Macarena ,2.8 km,8,2.9593243387289996
32300,181.0,Estación Barrios Unidos ,3.2 km,8,10.23806100125259
32378,163.0,Cai Bello Horizonte ,2.4 km,8,2.4853124012353445
32385,163.0,Cai Los Libertadores ,1.7 km,7,2.4853124012353445
32386,163.0,Cai Guacamayas ,2.1 km,7,2.4853124012353445
32389,163.0,Cai Altamira ,1.3 km,5,2.4853124012353445
32393,163.0,Cai La Victoria ,1.1 km,4,2.4853124012353445
32543,178.0,Cai Girardot ,2.5 km,8,2.4853124012353445
32547,178.0,Cai Veinte De Julio ,2.2 km,8,2.4853124012353445
32549,178.0,Cai Las Cruces ,0.8 km,4,2.4853124012353445
32554,178.0,Cai Distrital ,0.3 km,1,2.4853124012353445
32559,178.0,Cai Guavio ,2.1 km,8,2.4853124012353445
32561,178.0,Cai Usme ,1.7 km,6,2.4853124012353445
32656,178.0,Cai Ciudad Berna ,2.0 km,7,2.4853124012353445
32678,178.0,Estación Candelaria ,1.5 km,6,2.4853124012353445
32728,119.0,Estación San Cristóbal ,1.1 km,4,2.4853124012353445
32729,119.0,Cai Veinte De Julio ,1.6 km,6,2.4853124012353445
32732,119.0,Cai Guacamayas ,1.3 km,4,2.4853124012353445
32739,119.0,Cai Bello Horizonte ,1.1 km,4,2.4853124012353445
32949,116.0,Cai Versalles ,0.6 km,4,2.9593243387289996
33067,227.0,Cai Las Cruces ,1.0 km,5,5.107584220989939
33068,227.0,Cai Guavio ,2.5 km,8,5.107584220989939
33071,227.0,Cai Colseguros ,2.4 km,8,5.107584220989939
33076,227.0,Cai Distrital ,1.4 km,7,5.107584220989939
33088,227.0,Cai Usme ,2.1 km,7,5.107584220989939
33182,227.0,Cai Ciudad Berna ,2.1 km,6,5.107584220989939
33184,227.0,Cai Restrepo ,2.2 km,8,5.107584220989939
33191,227.0,Cai Bolivia ,2.0 km,7,5.107584220989939
33195,227.0,Estación Candelaria ,1.9 km,7,5.107584220989939
33308,133.0,Cai Normandia ,1.7 km,8,7.220870423971701
33311,133.0,Cai Alamos ,1.9 km,7,7.220870423971701
33325,133.0,Cai Villa Luz ,1.4 km,7,7.220870423971701
33544,117.0,Cai Lucero ,1.3 km,6,4.557375710240918
33545,117.0,Cai Vista Hermosa ,1.0 km,5,4.557375710240918
33554,117.0,Cai San Francisco ,1.7 km,7,4.557375710240918
33557,117.0,Cai Compartir ,0.4 km,2,4.557375710240918
33663,155.0,Cai Gaitana ,1.5 km,6,10.23806100125259
33671,155.0,Cai Aures ,1.9 km,8,10.23806100125259
33838,151.0,Cai Jaboque ,2.3 km,8,7.220870423971701
33847,151.0,Cai Villas De Granada ,0.7 km,3,7.220870423971701
34073,197.0,Cai Santo Domingo ,0.6 km,3,4.557375710240918
34170,120.0,Cai Versalles ,1.6 km,4,2.9593243387289996
34297,126.0,Estación Tunjuelito ,3.3 km,7,3.9049283849637786
34392,126.0,Cai Villa Mayor ,2.3 km,6,3.9049283849637786
34394,126.0,Cai Valvanera ,2.5 km,8,3.9049283849637786
34398,126.0,Estación Rafael Uribe ,2.0 km,8,3.9049283849637786
34406,126.0,Cai Claret ,1.1 km,5,3.9049283849637786
34409,126.0,Cai Centenario ,1.9 km,8,3.9049283849637786
34412,126.0,Cai Gustavo Restrepo ,1.9 km,8,3.9049283849637786
34420,126.0,Cai San Jorge ,1.9 km,8,3.9049283849637786
34438,164.0,Estación Santa Fé ,0.7 km,4,5.107584220989939
34449,164.0,Cai San Diego ,1.6 km,5,5.107584220989939
34450,164.0,Cai Colseguros ,1.0 km,6,5.107584220989939
34454,164.0,Cai Telecom ,1.7 km,8,5.107584220989939
34455,164.0,Cai Torres Blancas ,2.0 km,6,5.107584220989939
34557,164.0,Cai Teusaquillo ,3.1 km,8,5.107584220989939
34577,164.0,Cai Rosario ,1.1 km,6,5.107584220989939
34615,122.0,Cai Girardot ,2.0 km,7,5.107584220989939
34619,122.0,Cai Los Laches ,1.0 km,4,5.107584220989939
34626,122.0,Cai Dorado ,71 m,1,5.107584220989939
34629,122.0,Cai Mirador ,2.3 km,7,5.107584220989939
34631,122.0,Cai Guavio ,1.7 km,6,5.107584220989939
34643,122.0,Cai Ramajal ,0.3 km,1,5.107584220989939
34789,251.0,Cai Lourdes ,1.1 km,5,2.878816391520804
34891,251.0,Cai Federman ,2.7 km,8,2.878816391520804
34894,251.0,Cai San Luis ,1.0 km,4,2.878816391520804
34896,251.0,Estación Teusaquillo ,2.2 km,7,2.878816391520804
34998,157.0,Cai Laureles ,1.3 km,6,6.590791712152753
35009,157.0,Cai San José ,1.3 km,6,6.590791712152753
35154,199.0,Cai La Victoria ,1.7 km,5,2.4853124012353445
35155,199.0,Cai Guacamayas ,1.0 km,4,2.4853124012353445
35156,199.0,Cai Bello Horizonte ,1.2 km,4,2.4853124012353445
35262,199.0,Cai Dianaturbay ,1.6 km,5,2.4853124012353445
35279,199.0,Cai Palermo Sur ,2.6 km,8,2.4853124012353445
35329,140.0,Estación Usme ,1.4 km,4,1.563767675016456
35341,140.0,Cai Antonio José De Sucre ,0.4 km,2,1.563767675016456
35506,206.0,Estación Usme ,1.4 km,5,1.563767675016456
35513,206.0,Cai Nuevo Porvenir ,1.3 km,6,1.563767675016456
35514,206.0,Cai Antonio José De Sucre ,1.8 km,6,1.563767675016456
35750,231.0,Cai Siete De Agosto ,3.6 km,7,2.878816391520804
35759,231.0,Cai Teusaquillo ,1.3 km,5,2.878816391520804
35761,231.0,Cai Galerias ,1.9 km,5,2.878816391520804
35764,231.0,Cai Samper Mendoza ,1.6 km,7,2.878816391520804
35770,231.0,Cai Federman ,3.0 km,7,2.878816391520804
35778,231.0,Cai Soledad ,0.8 km,4,2.878816391520804
35820,248.0,Cai Lourdes ,0.9 km,5,2.878816391520804
35949,248.0,Cai San Luis ,1.0 km,4,2.878816391520804
36141,130.0,Estación Ciudad Bolívar ,0.5 km,2,4.557375710240918
36148,130.0,Cai Perdomo ,0.9 km,3,4.557375710240918
36151,130.0,Cai La Candelaria ,2.8 km,7,4.557375710240918
36158,130.0,Cai Arborizadora Alta ,2.2 km,8,4.557375710240918
36161,128.0,Estación Usaquén  ,2.2 km,7,4.601013191631184
36167,128.0,Cai Villa Nidia ,1.5 km,7,4.601013191631184
36268,128.0,Cai Mazuren ,1.6 km,5,4.601013191631184
36393,129.0,Cai Oneida ,3.2 km,7,15.525693658555944
36400,129.0,Cai Techo ,2.8 km,7,15.525693658555944
36402,129.0,Cai Marsella ,1.0 km,3,15.525693658555944
36405,129.0,Cai Caldas ,2.9 km,7,15.525693658555944
36578,186.0,Cai Santander ,2.1 km,8,2.9593243387289996
36587,186.0,Cai Versalles ,1.8 km,6,2.9593243387289996
36769,159.0,Cai Ferias ,1.1 km,5,7.220870423971701
36791,159.0,Estación Barrios Unidos ,1.6 km,6,7.220870423971701
36793,159.0,Cai Modelo ,2.4 km,8,7.220870423971701
36978,226.0,Estación Antonio Nariño ,1.8 km,6,3.9049283849637786
36983,226.0,Cai Valvanera ,1.8 km,7,3.9049283849637786
36997,226.0,Cai Claret ,1.8 km,6,3.9049283849637786
36999,226.0,Estación Rafael Uribe ,1.2 km,4,3.9049283849637786
37003,226.0,Cai Gustavo Restrepo ,1.1 km,3,3.9049283849637786
37005,226.0,Cai Centenario ,1.1 km,3,3.9049283849637786
37011,226.0,Cai San Jorge ,1.1 km,3,3.9049283849637786
37015,226.0,Cai Lomas ,2.3 km,8,3.9049283849637786
37099,201.0,Estación Fontibón ,0.7 km,3,2.9593243387289996
37102,201.0,Cai Santander ,1.8 km,7,2.9593243387289996
37113,201.0,Cai Sabana Grande ,1.9 km,8,2.9593243387289996
37283,134.0,Cai Engativá ,1.2 km,6,7.220870423971701
37295,134.0,Cai Jaboque ,1.8 km,5,7.220870423971701
37451,209.0,Cai Granjas ,1.3 km,5,2.9593243387289996
37455,209.0,Cai Modelia ,3.0 km,7,2.9593243387289996
37564,221.0,Cai Las Cruces ,2.2 km,7,1.5016567730358827
37577,221.0,Cai Distrital ,2.2 km,7,1.5016567730358827
37667,221.0,Estación Mártires ,2.5 km,8,1.5016567730358827
37668,221.0,Cai Ciudad Berna ,2.8 km,7,1.5016567730358827
37676,221.0,Cai Ricaurte ,2.8 km,8,1.5016567730358827
37680,221.0,Cai Valvanera ,1.5 km,5,1.5016567730358827
37681,221.0,Cai Restrepo ,1.2 km,5,1.5016567730358827
37682,221.0,Cai Santa Isabel  ,2.8 km,8,1.5016567730358827
37688,221.0,Estación Antonio Nariño ,1.5 km,6,1.5016567730358827
37691,221.0,Cai Santa Matilde ,1.9 km,7,1.5016567730358827
37699,221.0,Cai San Jorge ,2.2 km,8,1.5016567730358827
37705,221.0,Cai Gustavo Restrepo ,2.2 km,8,1.5016567730358827
37706,221.0,Cai Centenario ,2.2 km,8,1.5016567730358827
37934,207.0,Cai Villa Del Rio ,1.7 km,4,15.525693658555944
37955,207.0,Estación Kennedy ,1.6 km,7,15.525693658555944
37958,207.0,Cai Timiza ,1.2 km,5,15.525693658555944
37961,207.0,Cai Socorro ,1.0 km,5,15.525693658555944
38193,225.0,Cai Valvanera ,0.4 km,2,1.5016567730358827
38194,225.0,Cai Santa Isabel  ,3.0 km,8,1.5016567730358827
38195,225.0,Estación Antonio Nariño ,0.8 km,4,1.5016567730358827
38196,225.0,Cai Restrepo ,1.7 km,6,1.5016567730358827
38203,225.0,Cai Ricaurte ,3.0 km,8,1.5016567730358827
38208,225.0,Cai San Jorge ,1.2 km,6,1.5016567730358827
38215,225.0,Cai Santa Matilde ,1.7 km,7,1.5016567730358827
38223,225.0,Cai Centenario ,1.2 km,6,1.5016567730358827
38225,225.0,Cai Gustavo Restrepo ,1.2 km,6,1.5016567730358827
38308,171.0,Cai Villa Claudia ,2.0 km,6,7.945104748270014
38377,171.0,Cai Galan ,1.5 km,5,7.945104748270014
38386,171.0,Cai Gorgonzola ,2.8 km,6,7.945104748270014
38483,142.0,Estación Fontibón ,0.6 km,3,2.9593243387289996
38491,142.0,Cai Sabana Grande ,2.3 km,7,2.9593243387289996
38493,142.0,Cai Santander ,1.2 km,5,2.9593243387289996
