,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
4295,123.0,Cai Tejar ,3.3 km,7,7.945104748270014
4297,123.0,Cai Santa Matilde ,0.5 km,2,7.945104748270014
4300,123.0,Estación Antonio Nariño ,2.2 km,8,7.945104748270014
4301,123.0,Cai Valvanera ,1.8 km,6,7.945104748270014
4302,123.0,Cai Santa Isabel  ,2.8 km,8,7.945104748270014
4480,23.0,Estación Ciudad Bolívar ,0.9 km,4,4.557375710240918
4482,23.0,Cai La Candelaria ,2.1 km,7,4.557375710240918
4494,23.0,Cai Perdomo ,2.2 km,8,4.557375710240918
4495,17.0,Cai Contador ,1.3 km,4,10.23806100125259
4504,23.0,Cai Arborizadora Alta ,1.0 km,5,4.557375710240918
4604,17.0,Cai Colina Campestre ,1.9 km,6,10.23806100125259
4612,17.0,Cai Tierra Linda ,1.2 km,5,10.23806100125259
4726,18.0,Cai Villa Del Rio ,2.3 km,7,4.557375710240918
4825,18.0,Estación Ciudad Bolívar ,2.0 km,8,4.557375710240918
4834,18.0,Cai Perdomo ,0.5 km,2,4.557375710240918
4892,99.0,Estación Bosa ,1.8 km,8,6.590791712152753
4898,99.0,Cai Piamonte ,1.6 km,6,6.590791712152753
4900,99.0,Cai Laureles ,1.8 km,7,6.590791712152753
4901,99.0,Cai Libertad ,2.1 km,7,6.590791712152753
4910,99.0,Cai Antonia Santos ,0.2 km,1,6.590791712152753
5070,19.0,Cai Villa Del Rio ,2.4 km,7,4.557375710240918
5183,19.0,Cai Perdomo ,1.4 km,5,4.557375710240918
5332,20.0,Cai Galan ,0.5 km,3,7.945104748270014
5334,20.0,Cai Gorgonzola ,1.1 km,5,7.945104748270014
5361,21.0,Cai Navarra ,2.2 km,5,10.23806100125259
5472,21.0,Cai La Alhambra ,1.6 km,5,10.23806100125259
5488,21.0,Cai Polo Club ,2.5 km,7,10.23806100125259
5603,22.0,Estación Kennedy ,1.7 km,7,15.525693658555944
5606,22.0,Cai Britalia ,1.3 km,5,15.525693658555944
5617,22.0,Cai Bellavista ,1.9 km,8,15.525693658555944
5908,204.0,Cai Bello Horizonte ,1.2 km,3,2.4853124012353445
5911,204.0,Cai Veinte De Julio ,1.5 km,6,2.4853124012353445
5913,204.0,Cai Guacamayas ,1.6 km,6,2.4853124012353445
6040,204.0,Cai Lomas ,2.1 km,7,2.4853124012353445
6074,26.0,Estación Santa Fé ,0.7 km,3,1.345705659716142
6075,26.0,Cai Telecom ,2.9 km,8,1.345705659716142
6077,26.0,Cai Colseguros ,1.6 km,8,1.345705659716142
6078,26.0,Cai Torres Blancas ,2.2 km,7,1.345705659716142
6080,26.0,Cai Monserrate ,2.6 km,6,1.345705659716142
6091,26.0,Cai San Diego ,1.9 km,6,1.345705659716142
6200,26.0,Cai Rosario ,1.2 km,7,1.345705659716142
6252,216.0,Cai Colseguros ,1.3 km,6,1.345705659716142
6254,216.0,Cai Las Cruces ,1.6 km,8,1.345705659716142
6272,216.0,Cai Usme ,1.3 km,6,1.345705659716142
6369,216.0,Cai Bolivia ,0.9 km,4,1.345705659716142
6374,216.0,Estación Candelaria ,1.4 km,6,1.345705659716142
6410,241.0,Cai Lourdes ,1.8 km,8,2.878816391520804
6518,241.0,Cai Federman ,1.5 km,6,2.878816391520804
